id_fonte_observacao,id_usina,data_hora_observacao,valor,status
PI,BAUFI1,2025-06-03T00:00:00Z,0,0
PI,BAUFI1,2025-06-03T00:30:00Z,0,
PI,BAUFI1,2025-06-03T01:00:00Z,0,
PI,BAUFI1,2025-06-03T01:30:00Z,0,
PI,BAUFI1,2025-06-03T02:00:00Z,0,
PI,BAUFI1,2025-06-03T02:30:00Z,0,
PI,BAUFI1,2025-06-03T03:00:00Z,0,
PI,BAUFI1,2025-06-03T03:30:00Z,0,
PI,BAUFI1,2025-06-03T04:00:00Z,0,
PI,BAUFI1,2025-06-03T04:30:00Z,0,
PI,BAUFI1,2025-06-03T05:00:00Z,0,
PI,BAUFI1,2025-06-03T05:30:00Z,0,
PI,BAUFI1,2025-06-03T06:00:00Z,0.087,
PI,BAUFI1,2025-06-03T06:30:00Z,1.634,
PI,BAUFI1,2025-06-03T07:00:00Z,0,
PI,BAUFI1,2025-06-03T07:30:00Z,0,
PI,BAUFI1,2025-06-03T08:00:00Z,0,
PI,BAUFI1,2025-06-03T08:30:00Z,0,
PI,BAUFI1,2025-06-03T09:00:00Z,0,
PI,BAUFI1,2025-06-03T09:30:00Z,0,
PI,BAUFI1,2025-06-03T10:00:00Z,0,
PI,BAUFI1,2025-06-03T10:30:00Z,0,
PI,BAUFI1,2025-06-03T11:00:00Z,0,
PI,BAUFI1,2025-06-03T11:30:00Z,0,
PI,BAUFI1,2025-06-03T12:00:00Z,0,
PI,BAUFI1,2025-06-03T12:30:00Z,0,
PI,BAUFI1,2025-06-03T13:00:00Z,0,
PI,BAUFI1,2025-06-03T13:30:00Z,2.708,
PI,BAUFI1,2025-06-03T14:00:00Z,9.542,
PI,BAUFI1,2025-06-03T14:30:00Z,12.499,
PI,BAUFI1,2025-06-03T15:00:00Z,0.001,
PI,BAUFI1,2025-06-03T15:30:00Z,2.428,
PI,BAUFI1,2025-06-03T16:00:00Z,9.19,
PI,BAUFI1,2025-06-03T16:30:00Z,5.721,
PI,BAUFI1,2025-06-03T17:00:00Z,1.25,
PI,BAUFI1,2025-06-03T17:30:00Z,0.103,
PI,BAUFI1,2025-06-03T18:00:00Z,999,
PI,BAUFI1,2025-06-03T18:30:00Z,0,
PI,BAUFI1,2025-06-03T19:00:00Z,999,
PI,BAUFI1,2025-06-03T19:30:00Z,999,
PI,BAUFI1,2025-06-03T20:00:00Z,999,
PI,BAUFI1,2025-06-03T20:30:00Z,999,
PI,BAUFI1,2025-06-03T21:00:00Z,999,
PI,BAUFI1,2025-06-03T21:30:00Z,999,
PI,BAUFI1,2025-06-03T22:00:00Z,0,
