latitude,longitude,data_hora_rodada,data_hora_previsao,valor,id_modelo_nwp
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T01:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T02:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T04:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T05:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T07:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T08:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T10:00:00Z,10.56,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T11:00:00Z,57.76,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T12:00:00Z,126.45,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T13:00:00Z,659.7,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T14:00:00Z,727.04,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T15:00:00Z,771.36,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T16:00:00Z,792.3,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T17:00:00Z,789.39,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T18:00:00Z,763.46,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T19:00:00Z,437.4,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T20:00:00Z,323.06,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T21:00:00Z,218.62,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T22:00:00Z,163.96,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-11T23:00:00Z,131.18,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T00:00:00Z,109.31,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T01:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T02:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T04:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T05:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T07:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T08:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T10:00:00Z,10.66,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T11:00:00Z,58.44,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T12:00:00Z,126.22,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T13:00:00Z,634.22,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T14:00:00Z,675.8,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T15:00:00Z,714.36,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T16:00:00Z,730.56,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T17:00:00Z,732.82,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T18:00:00Z,706.03,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T19:00:00Z,369.7,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T20:00:00Z,267.6,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T21:00:00Z,185.84,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T22:00:00Z,139.38,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-12T23:00:00Z,111.5,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T00:00:00Z,92.91,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T01:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T02:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T04:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T05:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T07:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T08:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T10:00:00Z,9.22,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T11:00:00Z,53.02,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T12:00:00Z,120.77,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T13:00:00Z,636,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T14:00:00Z,697.1,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T15:00:00Z,746.68,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T16:00:00Z,767.86,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T17:00:00Z,766.1,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T18:00:00Z,743.42,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T19:00:00Z,435.18,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T20:00:00Z,322.72,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T21:00:00Z,223.46,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T22:00:00Z,167.6,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-13T23:00:00Z,134.08,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T00:00:00Z,111.73,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T01:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T02:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T04:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T05:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T07:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T08:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T10:00:00Z,10.02,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T11:00:00Z,55.98,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T12:00:00Z,118.38,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T13:00:00Z,642.08,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T14:00:00Z,700.22,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T15:00:00Z,735.3,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T16:00:00Z,763.62,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-14T17:00:00Z,765.25,GFS
